eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619418842767,retransmit-arrived,pending,1,1,H.264,1,0,4,2,2,0,0,0,0,0,1,0,1,0,10,0,10,0,10,0,1,1,619418959552,116.785,619418836338,6.429,6.542,0,1,1,1,0,0,0,0,0,619418804552,619418829796,12.971
619418842767,nack-sent-key-tiny-early,pending,1,1,H.264,1,0,4,3,1,0,0,1,0,1,1,0,1,0,10,0,10,0,0,0,0,0,619418959552,116.785,619418842767,0,6.429,0,1,1,1,0,0,0,0,0,619418804552,619418829796,12.971
619418849018,fec-parity,pending,1,1,H.264,1,0,4,3,1,1,0,1,0,1,1,0,1,0,10,0,10,0,0,0,0,0,619418959552,110.534,619418804552,44.466,6.429,0,1,0,1,1,1,0,0,0,619418804552,619418829796,19.222
619418849018,fec-recovered,pending,1,1,H.264,1,0,4,4,0,1,1,1,0,1,1,0,1,0,10,0,10,0,0,0,0,0,619418959552,110.534,619418849018,0,44.466,0,1,1,0,1,0,0,0,0,619418804552,619418829796,19.222
619418849018,completed,completed,1,1,H.264,1,0,4,4,0,1,1,1,0,1,1,0,1,0,10,0,10,0,0,0,0,0,619418959552,110.534,619418849018,0,44.466,0,1,1,0,1,0,0,0,0,619418804552,619418829796,19.222
619418876246,nack-sent-key-tiny-early,pending,2,1,H.264,1,0,3,2,1,0,0,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,619418991175,114.929,619418876246,0,6.313,0,1,1,1,0,0,0,0,0,619418836175,619418869933,6.313
619418883130,retransmit-late-after-completed,completed,1,1,H.264,1,0,4,4,0,0,0,1,0,1,1,0,1,0,11,2,11,2,11,2,1,1,619418959552,76.422,619418849018,34.112,44.466,0,1,1,0,1,0,0,0,0,619418804552,619418829796,53.334
619418883130,nack-sent-key-tiny-early,pending,2,1,H.264,1,0,3,2,1,0,0,2,0,2,0,0,0,0,7,1,0,0,0,0,0,0,619418991175,108.045,619418876246,6.884,6.313,0,1,1,1,0,0,0,0,0,619418836175,619418869933,13.197
619418889459,nack-sent-key-tiny-early,pending,2,1,H.264,1,0,3,2,1,0,0,3,0,3,0,0,0,0,7,1,0,0,0,0,0,0,619418991175,101.716,619418876246,13.213,6.313,0,1,0,1,0,0,0,0,0,619418836175,619418869933,19.526
619418909174,completed,completed,2,1,H.264,1,0,3,3,0,0,0,3,1,3,0,0,0,0,8,2,0,0,0,0,0,0,619418991175,82.001,619418909174,0,32.928,0,1,1,0,0,0,0,0,0,619418836175,619418869933,39.241
619418909174,nack-sent,pending,3,1,H.264,1,0,3,1,2,0,0,1,0,2,0,0,0,0,14,2,0,0,0,0,0,0,619419031104,121.93,619418889459,19.715,0,0,0,0,0,0,0,0,0,0,619418876104,619418889459,19.715
